"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
27	0.875360165385361	7	7	"Churn"	"Yes"	0.1
28	0.887965834687146	7	7	"Churn"	"Yes"	0.1
29	0.889337592304703	7	7	"Churn"	"Yes"	0.1
30	0.900862666297118	7	7	"Churn"	"Yes"	0.1
1	0.889380864453405	8	8	"Churn"	"Yes"	0.1
2	0.901512971754664	8	8	"Churn"	"Yes"	0.1
3	0.921742920540997	8	8	"Churn"	"Yes"	0.1
4	0.950561377245509	8	8	"Churn"	"Yes"	0.1
5	0.904979987684729	8	8	"Churn"	"Yes"	0.1
6	0.874533883850325	8	8	"Churn"	"Yes"	0.1
7	0.902089251893939	8	8	"Churn"	"Yes"	0.1
8	0.830074931479456	8	8	"Churn"	"Yes"	0.1
9	0.878901458361728	8	8	"Churn"	"Yes"	0.1
10	0.853342233785202	8	8	"Churn"	"Yes"	0.1
11	0.885713462175912	8	8	"Churn"	"Yes"	0.1
12	0.898444584744304	8	8	"Churn"	"Yes"	0.1
13	0.880143558103381	8	8	"Churn"	"Yes"	0.1
14	0.881210473058437	8	8	"Churn"	"Yes"	0.1
15	0.910455588331694	8	8	"Churn"	"Yes"	0.1
16	0.88435998706578	8	8	"Churn"	"Yes"	0.1
17	0.887085757652416	8	8	"Churn"	"Yes"	0.1
18	0.901293199554069	8	8	"Churn"	"Yes"	0.1
19	0.873502604166667	8	8	"Churn"	"Yes"	0.1
20	0.895461551199256	8	8	"Churn"	"Yes"	0.1
21	0.90693532824282	8	8	"Churn"	"Yes"	0.1
22	0.89656254615271	8	8	"Churn"	"Yes"	0.1
23	0.89635066895726	8	8	"Churn"	"Yes"	0.1
24	0.900101188970402	8	8	"Churn"	"Yes"	0.1
25	0.877922609305588	8	8	"Churn"	"Yes"	0.1
26	0.886677759424796	8	8	"Churn"	"Yes"	0.1
27	0.911170583874766	8	8	"Churn"	"Yes"	0.1
28	0.848274246446978	8	8	"Churn"	"Yes"	0.1
29	0.89061876247505	8	8	"Churn"	"Yes"	0.1
30	0.871248868411452	8	8	"Churn"	"Yes"	0.1
1	0.909288757784333	9	9	"Churn"	"Yes"	0.1
2	0.884458228720524	9	9	"Churn"	"Yes"	0.1
3	0.901860643552486	9	9	"Churn"	"Yes"	0.1
4	0.918810756551141	9	9	"Churn"	"Yes"	0.1
5	0.910142215568862	9	9	"Churn"	"Yes"	0.1
6	0.907463046757164	9	9	"Churn"	"Yes"	0.1
7	0.884557700882301	9	9	"Churn"	"Yes"	0.1
8	0.904094249943417	9	9	"Churn"	"Yes"	0.1
9	0.906280542986425	9	9	"Churn"	"Yes"	0.1
10	0.900424650927527	9	9	"Churn"	"Yes"	0.1
11	0.931762332660921	9	9	"Churn"	"Yes"	0.1
12	0.84703488176528	9	9	"Churn"	"Yes"	0.1
13	0.857252531400432	9	9	"Churn"	"Yes"	0.1
