"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"
27	0.844604091831954	18	18	"Churn"
28	0.91188544500583	17	18	"Churn"
29	0.897018463073852	18	18	"Churn"
30	0.939558410869886	17	18	"Churn"
1	0.888828153469728	16	19	"Churn"
2	0.875886649962946	18	19	"Churn"
3	0.910038782261762	18	19	"Churn"
4	0.872923042610926	18	19	"Churn"
5	0.893844330579665	16	19	"Churn"
6	0.866110321969697	18	19	"Churn"
7	0.923812089490969	15	19	"Churn"
8	0.899438710396868	17	19	"Churn"
9	0.873481078919199	15	19	"Churn"
10	0.907252727189739	18	19	"Churn"
11	0.910836599282881	18	19	"Churn"
12	0.930497229770265	16	19	"Churn"
13	0.913479074117372	16	19	"Churn"
14	0.919562342906834	16	19	"Churn"
15	0.919836175805367	15	19	"Churn"
16	0.925194570135747	18	19	"Churn"
17	0.898023254510186	17	19	"Churn"
18	0.913142602252593	17	19	"Churn"
19	0.902563622754491	15	19	"Churn"
20	0.888938780672907	16	19	"Churn"
21	0.904062426934767	16	19	"Churn"
22	0.88332519327671	18	19	"Churn"
23	0.944667468760051	17	19	"Churn"
24	0.914093514328808	17	19	"Churn"
25	0.882919119996349	17	19	"Churn"
26	0.885953576527347	16	19	"Churn"
27	0.914337212243865	17	19	"Churn"
28	0.909529355024644	16	19	"Churn"
29	0.932038286166485	17	19	"Churn"
30	0.921853123025264	16	19	"Churn"
1	0.929979649692393	17	20	"Churn"
2	0.9021272172949	17	20	"Churn"
3	0.892897727272727	19	20	"Churn"
4	0.887673024091293	17	20	"Churn"
5	0.915363894084295	16	20	"Churn"
6	0.90979375696767	17	20	"Churn"
7	0.876870384764866	17	20	"Churn"
8	0.894244877308373	16	20	"Churn"
9	0.958053097345133	16	20	"Churn"
10	0.923129654803816	15	20	"Churn"
11	0.8726542764345	17	20	"Churn"
12	0.876276426518883	15	20	"Churn"
13	0.934578826614225	16	20	"Churn"
14	0.891199028584881	16	20	"Churn"
15	0.892151675485009	17	20	"Churn"
16	0.891222198982082	15	20	"Churn"
17	0.900658789082924	16	20	"Churn"
18	0.910803924757413	17	20	"Churn"
19	0.867974668560606	17	20	"Churn"
20	0.907840052441822	18	20	"Churn"
21	0.890900754920802	16	20	"Churn"
22	0.890121055174892	18	20	"Churn"
23	0.88894117373674	17	20	"Churn"
24	0.928358686555408	18	20	"Churn"
25	0.908335441436883	19	20	"Churn"
26	0.903458556946929	16	20	"Churn"
27	0.914688630435096	20	20	"Churn"
28	0.908586626139818	16	20	"Churn"
29	0.900678045358896	19	20	"Churn"
30	0.907149749246548	16	20	"Churn"
1	0.897214837788608	15	21	"Churn"
2	0.890737460638776	17	21	"Churn"
3	0.92816980770153	17	21	"Churn"
4	0.919958432667033	17	21	"Churn"
5	0.927164782333052	16	21	"Churn"
6	0.915755885665254	14	21	"Churn"
7	0.899672667757774	17	21	"Churn"
8	0.913292165668663	15	21	"Churn"
9	0.941368285630581	15	21	"Churn"
10	0.903983219054493	16	21	"Churn"
11	0.89997169300448	15	21	"Churn"
12	0.875648819265841	17	21	"Churn"
13	0.928669507575758	15	21	"Churn"
14	0.915667941251976	17	21	"Churn"
15	0.907683843755731	15	21	"Churn"
16	0.923251392985906	18	21	"Churn"
17	0.886932279352084	15	21	"Churn"
18	0.931069603440266	16	21	"Churn"
19	0.896446404896725	18	21	"Churn"
20	0.911858082469011	15	21	"Churn"
21	0.881730289421158	19	21	"Churn"
22	0.909667328198056	16	21	"Churn"
23	0.893837492198148	19	21	"Churn"
24	0.890094956694334	16	21	"Churn"
25	0.883238132999616	14	21	"Churn"
26	0.92832135977927	17	21	"Churn"
27	0.892689710454722	16	21	"Churn"
28	0.911180615744056	17	21	"Churn"
29	0.894003300935265	17	21	"Churn"
30	0.853539576365663	14	21	"Churn"
1	0.892981198989506	16	22	"Churn"
2	0.931307848999964	16	22	"Churn"
3	0.912737914445023	14	22	"Churn"
4	0.91468515657384	17	22	"Churn"
5	0.913302277432712	17	22	"Churn"
6	0.889289010882239	16	22	"Churn"
7	0.917657475335188	16	22	"Churn"
8	0.891335227272727	20	22	"Churn"
9	0.898673263427362	15	22	"Churn"
10	0.93425851434701	19	22	"Churn"
11	0.89007576847456	16	22	"Churn"
12	0.883868207103124	15	22	"Churn"
13	0.893570770314956	19	22	"Churn"
14	0.885460329341317	15	22	"Churn"
15	0.889682944813113	17	22	"Churn"
16	0.898337306681337	15	22	"Churn"
17	0.914333150759962	17	22	"Churn"
18	0.92174358974359	20	22	"Churn"
19	0.906148698107288	17	22	"Churn"
20	0.922971153407276	17	22	"Churn"
21	0.90526654196867	19	22	"Churn"
22	0.883089782557868	17	22	"Churn"
23	0.884175816167897	17	22	"Churn"
24	0.895908516780946	17	22	"Churn"
25	0.898604302832244	17	22	"Churn"
26	0.862713271463442	15	22	"Churn"
27	0.899025196522463	15	22	"Churn"
28	0.904042375969598	13	22	"Churn"
29	0.911085265593462	15	22	"Churn"
30	0.913470021526626	17	22	"Churn"
1	0.906642499448104	18	23	"Churn"
2	0.892056374119154	17	23	"Churn"
3	0.896573890292313	18	23	"Churn"
4	0.924542929129789	19	23	"Churn"
5	0.907641882183908	17	23	"Churn"
6	0.904706422544912	16	23	"Churn"
7	0.908282902377896	16	23	"Churn"
8	0.897012225548902	16	23	"Churn"
9	0.934164614121511	19	23	"Churn"
10	0.929746319474416	18	23	"Churn"
11	0.929017308237965	18	23	"Churn"
12	0.930092383228891	16	23	"Churn"
13	0.92601114388725	17	23	"Churn"
14	0.917015861742424	18	23	"Churn"
15	0.884370686680469	19	23	"Churn"
16	0.891553659106851	15	23	"Churn"
17	0.880694624274685	18	23	"Churn"
18	0.87815578817734	16	23	"Churn"
