"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
3	0.945201075520224	8	8	"Churn"	"Yes"	0
4	0.936983822386319	8	8	"Churn"	"Yes"	0
5	0.933594601665722	8	8	"Churn"	"Yes"	0
6	0.922841275300292	8	8	"Churn"	"Yes"	0
7	0.953433684346534	8	8	"Churn"	"Yes"	0
8	0.922696974056491	8	8	"Churn"	"Yes"	0
9	0.938739064856712	8	8	"Churn"	"Yes"	0
10	0.914858784626226	8	8	"Churn"	"Yes"	0
11	0.902808379098293	8	8	"Churn"	"Yes"	0
12	0.912411816578483	8	8	"Churn"	"Yes"	0
13	0.945014749262537	8	8	"Churn"	"Yes"	0
14	0.937521494898544	8	8	"Churn"	"Yes"	0
15	0.935854350702001	8	8	"Churn"	"Yes"	0
16	0.907214601388969	8	8	"Churn"	"Yes"	0
17	0.944981031701042	8	8	"Churn"	"Yes"	0
18	0.935643161722844	8	8	"Churn"	"Yes"	0
19	0.946442068222087	8	8	"Churn"	"Yes"	0
20	0.883929335533957	8	8	"Churn"	"Yes"	0
21	0.92805917405765	8	8	"Churn"	"Yes"	0
22	0.941939127477653	8	8	"Churn"	"Yes"	0
23	0.928069485414618	8	8	"Churn"	"Yes"	0
24	0.931149384469697	8	8	"Churn"	"Yes"	0
25	0.938853542914172	8	8	"Churn"	"Yes"	0
26	0.922823529411765	8	8	"Churn"	"Yes"	0
27	0.948376655343869	8	8	"Churn"	"Yes"	0
28	0.920616579508499	8	8	"Churn"	"Yes"	0
29	0.929105619652148	8	8	"Churn"	"Yes"	0
30	0.943646230779627	8	8	"Churn"	"Yes"	0
1	0.936545658682635	9	9	"Churn"	"Yes"	0
2	0.934105580693816	9	9	"Churn"	"Yes"	0
3	0.911573435590389	9	9	"Churn"	"Yes"	0
4	0.916705882352941	9	9	"Churn"	"Yes"	0
5	0.913503433371676	9	9	"Churn"	"Yes"	0
6	0.935782621205582	9	9	"Churn"	"Yes"	0
7	0.921413063562454	9	9	"Churn"	"Yes"	0
8	0.964521058744422	9	9	"Churn"	"Yes"	0
9	0.943600655942527	9	9	"Churn"	"Yes"	0
10	0.962600471175166	9	9	"Churn"	"Yes"	0
11	0.950041992376769	9	9	"Churn"	"Yes"	0
12	0.951266339869281	9	9	"Churn"	"Yes"	0
13	0.94694082594235	9	9	"Churn"	"Yes"	0
14	0.895999857052664	9	9	"Churn"	"Yes"	0
15	0.922854013017947	9	9	"Churn"	"Yes"	0
16	0.933255958980044	9	9	"Churn"	"Yes"	0
17	0.936460643015521	9	9	"Churn"	"Yes"	0
18	0.934861526946108	9	9	"Churn"	"Yes"	0
19	0.943378141167775	9	9	"Churn"	"Yes"	0
20	0.94316974449785	9	9	"Churn"	"Yes"	0
21	0.930512479692808	9	9	"Churn"	"Yes"	0
22	0.89977509469697	9	9	"Churn"	"Yes"	0
23	0.882914899308342	9	9	"Churn"	"Yes"	0
24	0.935149321266968	9	9	"Churn"	"Yes"	0
25	0.946164688025153	9	9	"Churn"	"Yes"	0
26	0.935393356338666	9	9	"Churn"	"Yes"	0
27	0.933372428726092	9	9	"Churn"	"Yes"	0
28	0.928973383075203	9	9	"Churn"	"Yes"	0
29	0.928303396031102	9	9	"Churn"	"Yes"	0
30	0.934433645088331	9	9	"Churn"	"Yes"	0
1	0.961539778173353	10	10	"Churn"	"Yes"	0
2	0.911085464015152	10	10	"Churn"	"Yes"	0
3	0.923736169692524	10	10	"Churn"	"Yes"	0
4	0.921220735785953	10	10	"Churn"	"Yes"	0
5	0.934860321969697	10	10	"Churn"	"Yes"	0
6	0.934198623402163	10	10	"Churn"	"Yes"	0
7	0.933601062484189	10	10	"Churn"	"Yes"	0
8	0.927497617955323	10	10	"Churn"	"Yes"	0
9	0.933962956170915	10	10	"Churn"	"Yes"	0
10	0.887912529415141	10	10	"Churn"	"Yes"	0
11	0.895393212484667	10	10	"Churn"	"Yes"	0
12	0.907456808943089	10	10	"Churn"	"Yes"	0
13	0.881891512742577	10	10	"Churn"	"Yes"	0
14	0.894192896232005	10	10	"Churn"	"Yes"	0
15	0.946714987140519	10	10	"Churn"	"Yes"	0
16	0.892530639945706	10	10	"Churn"	"Yes"	0
17	0.945571943625041	10	10	"Churn"	"Yes"	0
18	0.94110310421286	10	10	"Churn"	"Yes"	0
19	0.925678045358896	10	10	"Churn"	"Yes"	0
20	0.924535666051272	10	10	"Churn"	"Yes"	0
21	0.93653261631985	10	10	"Churn"	"Yes"	0
22	0.929223053309698	10	10	"Churn"	"Yes"	0
23	0.896978021978022	10	10	"Churn"	"Yes"	0
24	0.924485706835742	10	10	"Churn"	"Yes"	0
25	0.961389010872024	10	10	"Churn"	"Yes"	0
26	0.923156335017489	10	10	"Churn"	"Yes"	0
27	0.918357624307443	10	10	"Churn"	"Yes"	0
28	0.928979748335599	10	10	"Churn"	"Yes"	0
29	0.892589820359281	10	10	"Churn"	"Yes"	0
30	0.945723419282094	10	10	"Churn"	"Yes"	0
1	0.918567090897345	11	11	"Churn"	"Yes"	0
2	0.92199754506105	11	11	"Churn"	"Yes"	0
3	0.906729403409091	11	11	"Churn"	"Yes"	0
4	0.937574565716159	11	11	"Churn"	"Yes"	0
5	0.937420708193591	11	11	"Churn"	"Yes"	0
6	0.920707614942529	11	11	"Churn"	"Yes"	0
7	0.887508767827917	11	11	"Churn"	"Yes"	0
8	0.90531045751634	11	11	"Churn"	"Yes"	0
9	0.92560536003159	11	11	"Churn"	"Yes"	0
10	0.896145140428677	11	11	"Churn"	"Yes"	0
11	0.932416406870836	11	11	"Churn"	"Yes"	0
12	0.900232544949237	11	11	"Churn"	"Yes"	0
13	0.927586643055907	11	11	"Churn"	"Yes"	0
14	0.926464949476723	11	11	"Churn"	"Yes"	0
15	0.943136770535578	11	11	"Churn"	"Yes"	0
16	0.938380301899788	11	11	"Churn"	"Yes"	0
17	0.939430908478279	11	11	"Churn"	"Yes"	0
18	0.900577187235841	11	11	"Churn"	"Yes"	0
19	0.920239294106364	11	11	"Churn"	"Yes"	0
20	0.921551693330316	11	11	"Churn"	"Yes"	0
21	0.918605330839373	11	11	"Churn"	"Yes"	0
22	0.918500499001996	11	11	"Churn"	"Yes"	0
23	0.921863162878788	11	11	"Churn"	"Yes"	0
24	0.933197209460609	11	11	"Churn"	"Yes"	0
25	0.923567413915628	11	11	"Churn"	"Yes"	0
26	0.944492165130928	11	11	"Churn"	"Yes"	0
27	0.952947080178919	11	11	"Churn"	"Yes"	0
28	0.922204185340721	11	11	"Churn"	"Yes"	0
29	0.89750499001996	11	11	"Churn"	"Yes"	0
30	0.921034739326765	11	11	"Churn"	"Yes"	0
1	0.890800147712247	12	12	"Churn"	"Yes"	0
2	0.90580786872537	12	12	"Churn"	"Yes"	0
3	0.902519063180828	12	12	"Churn"	"Yes"	0
4	0.906383842859253	12	12	"Churn"	"Yes"	0
5	0.904097498246434	12	12	"Churn"	"Yes"	0
6	0.909581330634961	12	12	"Churn"	"Yes"	0
7	0.925960578842315	12	12	"Churn"	"Yes"	0
8	0.886249657522008	12	12	"Churn"	"Yes"	0
9	0.923363095238095	12	12	"Churn"	"Yes"	0
10	0.920488374722086	12	12	"Churn"	"Yes"	0
11	0.914172780166962	12	12	"Churn"	"Yes"	0
12	0.934738585059621	12	12	"Churn"	"Yes"	0
13	0.906851702869402	12	12	"Churn"	"Yes"	0
14	0.904138394767406	12	12	"Churn"	"Yes"	0
15	0.93454071969697	12	12	"Churn"	"Yes"	0
16	0.860608839171098	12	12	"Churn"	"Yes"	0
17	0.922138104501468	12	12	"Churn"	"Yes"	0
18	0.92887665719697	12	12	"Churn"	"Yes"	0
19	0.916593424790146	12	12	"Churn"	"Yes"	0
20	0.911667654269348	12	12	"Churn"	"Yes"	0
21	0.928612345101707	12	12	"Churn"	"Yes"	0
22	0.894979088880666	12	12	"Churn"	"Yes"	0
23	0.925935132575758	12	12	"Churn"	"Yes"	0
24	0.93171845777586	12	12	"Churn"	"Yes"	0
25	0.915255182326192	12	12	"Churn"	"Yes"	0
26	0.921904224159226	12	12	"Churn"	"Yes"	0
27	0.923153726778949	12	12	"Churn"	"Yes"	0
28	0.963988578742677	12	12	"Churn"	"Yes"	0
29	0.89667800323538	12	12	"Churn"	"Yes"	0
30	0.871981273011728	12	12	"Churn"	"Yes"	0
1	0.899030713672348	13	13	"Churn"	"Yes"	0
2	0.88805637495903	13	13	"Churn"	"Yes"	0
3	0.878248882627283	13	13	"Churn"	"Yes"	0
4	0.911670458741825	13	13	"Churn"	"Yes"	0
5	0.874678122370024	13	13	"Churn"	"Yes"	0
6	0.913339807221982	13	13	"Churn"	"Yes"	0
7	0.942805286143724	13	13	"Churn"	"Yes"	0
8	0.916371289322109	13	13	"Churn"	"Yes"	0
9	0.938441051136364	13	13	"Churn"	"Yes"	0
10	0.921382385730212	13	13	"Churn"	"Yes"	0
11	0.937717892487629	13	13	"Churn"	"Yes"	0
12	0.904385653409091	13	13	"Churn"	"Yes"	0
13	0.902642140468227	13	13	"Churn"	"Yes"	0
14	0.846243948149305	13	13	"Churn"	"Yes"	0
15	0.896741854636592	13	13	"Churn"	"Yes"	0
16	0.925805607639646	13	13	"Churn"	"Yes"	0
17	0.919681342364532	13	13	"Churn"	"Yes"	0
18	0.899500405990617	13	13	"Churn"	"Yes"	0
19	0.907984477209616	13	13	"Churn"	"Yes"	0
20	0.910385479041916	13	13	"Churn"	"Yes"	0
21	0.911450099229708	13	13	"Churn"	"Yes"	0
22	0.904010674201397	13	13	"Churn"	"Yes"	0
23	0.904991208666553	13	13	"Churn"	"Yes"	0
24	0.899787082164131	13	13	"Churn"	"Yes"	0
25	0.926024989737274	13	13	"Churn"	"Yes"	0
26	0.904718771566598	13	13	"Churn"	"Yes"	0
27	0.908241323435204	13	13	"Churn"	"Yes"	0
28	0.87815987933635	13	13	"Churn"	"Yes"	0
29	0.899721730331394	13	13	"Churn"	"Yes"	0
30	0.882310589277802	13	13	"Churn"	"Yes"	0
1	0.897241406842589	14	14	"Churn"	"Yes"	0
2	0.872091187329965	14	14	"Churn"	"Yes"	0
3	0.915490003277614	14	14	"Churn"	"Yes"	0
4	0.844700227675183	14	14	"Churn"	"Yes"	0
5	0.893248772504092	14	14	"Churn"	"Yes"	0
6	0.916643723369387	14	14	"Churn"	"Yes"	0
7	0.902406234899079	14	14	"Churn"	"Yes"	0
8	0.907772577789021	14	14	"Churn"	"Yes"	0
9	0.888407705099778	14	14	"Churn"	"Yes"	0
10	0.902720419534579	13	14	"Churn"	"Yes"	0
11	0.922873179903111	14	14	"Churn"	"Yes"	0
12	0.906667268134248	14	14	"Churn"	"Yes"	0
13	0.905961631179432	14	14	"Churn"	"Yes"	0
14	0.89375718916658	14	14	"Churn"	"Yes"	0
15	0.891093474426808	14	14	"Churn"	"Yes"	0
16	0.886657910714064	13	14	"Churn"	"Yes"	0
17	0.884953242835596	14	14	"Churn"	"Yes"	0
18	0.86944131240165	14	14	"Churn"	"Yes"	0
19	0.890207643984079	14	14	"Churn"	"Yes"	0
20	0.916582745887882	14	14	"Churn"	"Yes"	0
