"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
7	0.924969333515061	11	11	"Churn"	0
8	0.901871565934066	11	11	"Churn"	0
9	0.909957391019338	11	11	"Churn"	0
10	0.921638851966721	11	11	"Churn"	0
11	0.918879566912972	11	11	"Churn"	0
12	0.960777505446623	11	11	"Churn"	0
13	0.91984267453294	11	11	"Churn"	0
14	0.900357781753131	11	11	"Churn"	0
15	0.928131571914903	11	11	"Churn"	0
16	0.925876894675476	11	11	"Churn"	0
17	0.910841466631496	11	11	"Churn"	0
18	0.934257841302252	11	11	"Churn"	0
19	0.927342114066933	11	11	"Churn"	0
20	0.892710669458659	11	11	"Churn"	0
21	0.929193899782135	11	11	"Churn"	0
22	0.903701226309922	11	11	"Churn"	0
23	0.922117466618549	11	11	"Churn"	0
24	0.938666666666667	11	11	"Churn"	0
25	0.930963599408721	11	11	"Churn"	0
26	0.899530705282918	11	11	"Churn"	0
27	0.890335007138286	11	11	"Churn"	0
28	0.916038451808753	11	11	"Churn"	0
29	0.896976663847428	11	11	"Churn"	0
30	0.896102555382822	11	11	"Churn"	0
1	0.910900654753114	12	12	"Churn"	0
2	0.907281896241962	12	12	"Churn"	0
3	0.924779920664229	12	12	"Churn"	0
4	0.945791071774662	12	12	"Churn"	0
5	0.907495848600876	12	12	"Churn"	0
6	0.928010090870668	12	12	"Churn"	0
7	0.882538445184608	12	12	"Churn"	0
8	0.91734010892708	12	12	"Churn"	0
9	0.924053649237473	12	12	"Churn"	0
10	0.945285042676526	12	12	"Churn"	0
11	0.919063350174893	12	12	"Churn"	0
12	0.933842329545455	12	12	"Churn"	0
13	0.947330339321357	12	12	"Churn"	0
14	0.928894008017075	12	12	"Churn"	0
15	0.884945583262891	12	12	"Churn"	0
16	0.916984301311454	12	12	"Churn"	0
17	0.874694302198322	12	12	"Churn"	0
18	0.921363700052225	12	12	"Churn"	0
19	0.888206403637688	12	12	"Churn"	0
20	0.910107705053853	12	12	"Churn"	0
21	0.885960030356691	12	12	"Churn"	0
22	0.913835708917676	12	12	"Churn"	0
23	0.915080664016834	12	12	"Churn"	0
24	0.883628956365326	12	12	"Churn"	0
25	0.930196078431373	12	12	"Churn"	0
26	0.882206208425721	12	12	"Churn"	0
27	0.928546306414943	12	12	"Churn"	0
28	0.88404868673927	12	12	"Churn"	0
29	0.891238670694864	12	12	"Churn"	0
30	0.885735201840619	12	12	"Churn"	0
1	0.92291477457477	13	13	"Churn"	0
2	0.898684193766161	13	13	"Churn"	0
3	0.93047121620846	13	13	"Churn"	0
4	0.89811868441508	13	13	"Churn"	0
5	0.929655954246118	13	13	"Churn"	0
6	0.904627990822681	13	13	"Churn"	0
7	0.945353051204115	13	13	"Churn"	0
8	0.896539630582184	13	13	"Churn"	0
9	0.934439757931414	13	13	"Churn"	0
10	0.927921700368241	13	13	"Churn"	0
11	0.923569803185756	13	13	"Churn"	0
12	0.899409632920271	13	13	"Churn"	0
13	0.886170076800632	13	13	"Churn"	0
14	0.894047305020663	13	13	"Churn"	0
15	0.946512085856348	13	13	"Churn"	0
16	0.935191251623048	13	13	"Churn"	0
17	0.870521457085828	13	13	"Churn"	0
18	0.898443291326909	13	13	"Churn"	0
19	0.897902327105867	13	13	"Churn"	0
20	0.901527427114344	13	13	"Churn"	0
21	0.897545008183306	13	13	"Churn"	0
22	0.90199233191839	13	13	"Churn"	0
23	0.887306382774661	13	13	"Churn"	0
24	0.901282253699026	13	13	"Churn"	0
25	0.90373818978502	13	13	"Churn"	0
26	0.905014839441069	13	13	"Churn"	0
27	0.919667716463554	13	13	"Churn"	0
28	0.878646868137614	13	13	"Churn"	0
29	0.907481659499115	13	13	"Churn"	0
30	0.894296401300821	13	13	"Churn"	0
1	0.886444475240207	14	14	"Churn"	0
2	0.922407032633443	14	14	"Churn"	0
3	0.907696069441897	14	14	"Churn"	0
4	0.915835390001722	14	14	"Churn"	0
5	0.87753847401062	14	14	"Churn"	0
6	0.910739064856712	14	14	"Churn"	0
7	0.90217803030303	14	14	"Churn"	0
8	0.875665373511368	14	14	"Churn"	0
9	0.912491916112343	14	14	"Churn"	0
10	0.893697377303935	14	14	"Churn"	0
11	0.857438042481567	14	14	"Churn"	0
12	0.906269242610837	14	14	"Churn"	0
13	0.909309386911299	14	14	"Churn"	0
14	0.903885442819869	14	14	"Churn"	0
15	0.893879955305091	14	14	"Churn"	0
16	0.913021035755927	14	14	"Churn"	0
17	0.921128303436944	14	14	"Churn"	0
18	0.912912912912913	14	14	"Churn"	0
